cell,phase,arch,params,lm_loss,wall_seconds,n_lofo_evaled,top1_held_avg,top5_held_avg,ned_held_avg,anom_auc_held_avg,top1_id_avg,top1_drop
v4-final-transformer-small-multitask-syn50-ood25-all3,v4 (syn+ood),transformer,4372748,0.10361075624823571,194.38513612747192,3,0.6611111111111111,0.9888888888888889,0.3481550775586513,0.6666666666666666,0.6583333333333333,-0.002777777777777768
v3-final-transformer-medium-multitask-ood25-all3,v3 (ood aug),transformer,34177548,0.08671087101101875,728.72691655159,1,0.6583333333333333,1.0,0.19166386655314988,1.0,0.6458333333333333,-0.012500000000000067
v4-final-transformer-medium-multitask-syn50-ood25-all3,v4 (syn+ood),transformer,34177548,0.10366140305995941,727.6031177043915,3,0.65,0.9833333333333334,0.3803283338063264,1.0,0.6708333333333334,0.02083333333333337
v2-final-transformer-small-multitask-all3,v2 (max_len=768),transformer,4372748,0.08670824244618416,197.14722895622253,3,0.6472222222222221,0.9888888888888889,0.3530636688497986,0.4375,0.6486111111111111,0.001388888888888995
v2-final-transformer-medium-multitask-all3,v2 (max_len=768),transformer,34177548,0.08674943968653678,729.4850039482117,3,0.6277777777777778,0.9888888888888889,0.4781955857255454,0.1986111111111111,0.6694444444444444,0.04166666666666663
final-xlstm-small-lm_only-fdp02-all3,v1 (max_len=256),xlstm,1731344,0.11923377364873886,186.94003558158875,3,0.6216666666666666,0.9683333333333334,0.5406909126944079,1.0,0.6125,-0.009166666666666545
v3-final-transformer-small-multitask-ood25-all3,v3 (ood aug),transformer,4372748,0.08667787909507751,208.86637425422668,3,0.6166666666666667,0.9888888888888889,0.3623656306158977,0.9666666666666667,0.6638888888888889,0.047222222222222165
v2-final-transformer-medium-lm_only-all3,v2 (max_len=768),transformer,33646080,0.08631286099553108,723.039027929306,3,0.6138888888888889,0.9805555555555556,0.48764922137601224,1.0,0.6402777777777778,0.026388888888888906
v2-final-transformer-small-lm_only-all3,v2 (max_len=768),transformer,4238080,0.086198690533638,188.58472323417664,3,0.611111111111111,0.9888888888888889,0.4356527328243908,1.0,0.6291666666666667,0.018055555555555602
final-xlstm-small-lm_only-fdp00-all3,v1 (max_len=256),xlstm,1731344,0.11487441137433052,189.0230793952942,3,0.6066666666666666,0.9683333333333333,0.5364974032771974,1.0,0.6191666666666668,0.012500000000000178
final-xlstm-medium-lm_only-fdp00-all3,v1 (max_len=256),xlstm,12051008,0.1098327912390232,517.4747641086578,3,0.6016666666666667,0.9716666666666667,0.48832171371529665,1.0,0.5658333333333334,-0.03583333333333327
final-transformer-small-multitask-fdp02-all3,v1 (max_len=256),transformer,4372748,0.10798065513372421,93.5308530330658,3,0.5983333333333333,0.9666666666666667,0.5914474777583167,1.0,0.6208333333333333,0.022500000000000075
final-xlstm-medium-multitask-fdp02-all3,v1 (max_len=256),xlstm,12582476,0.11115211173892021,707.8687882423401,2,0.5975,0.985,0.46089259907289,1.0,0.65625,0.05874999999999997
final-transformer-small-multitask-fdp00-all3,v1 (max_len=256),transformer,4372748,0.10803193673491478,92.93234372138977,3,0.595,0.9500000000000001,0.5593518010101882,1.0,0.5650000000000001,-0.029999999999999916
final-xlstm-medium-lm_only-fdp02-all3,v1 (max_len=256),xlstm,12051008,0.1092542514204979,533.9511406421661,3,0.5916666666666667,0.9716666666666667,0.49904234168117473,1.0,0.6075,0.015833333333333366
final-xlstm-small-multitask-fdp00-all3,v1 (max_len=256),xlstm,1866012,0.11727437451481819,261.50459909439087,3,0.5850000000000001,0.985,0.6129568252310641,0.6666666666666666,0.6091666666666667,0.02416666666666667
final-transformer-small-lm_only-fdp02-all3,v1 (max_len=256),transformer,4238080,0.1062217928469181,83.42801904678345,3,0.5816666666666667,0.9550000000000001,0.5563386217221745,1.0,0.5991666666666666,0.01749999999999996
final-xlstm-small-multitask-fdp02-all3,v1 (max_len=256),xlstm,1866012,0.1172394797205925,258.3989119529724,3,0.58,0.9816666666666666,0.5940669575170475,0.6666666666666666,0.6275000000000001,0.0475000000000001
final-xlstm-medium-multitask-fdp00-all3,v1 (max_len=256),xlstm,12582476,0.10903946161270142,700.2260160446167,3,0.5766666666666667,0.9700000000000001,0.4955548192744965,0.49333333333333335,0.6466666666666666,0.06999999999999995
final-transformer-medium-multitask-fdp02-all3,v1 (max_len=256),transformer,34177548,0.10698555186390876,340.4321036338806,3,0.5516666666666666,0.98,0.6592872497816318,1.0,0.6066666666666667,0.05500000000000005
final-transformer-small-lm_only-fdp00-all3,v1 (max_len=256),transformer,4238080,0.10610538050532341,65.4668505191803,3,0.54,0.9766666666666667,0.5251429074936736,1.0,0.6083333333333333,0.06833333333333325
final-transformer-medium-multitask-fdp00-all3,v1 (max_len=256),transformer,34177548,0.10689718499779702,342.72430396080017,3,0.535,0.9400000000000001,0.6020373597303222,1.0,0.6583333333333333,0.1233333333333333
final-transformer-medium-lm_only-fdp00-all3,v1 (max_len=256),transformer,33646080,0.10614995062351226,244.79345631599426,0,,,,,,
final-transformer-medium-lm_only-fdp02-all3,v1 (max_len=256),transformer,33646080,0.1061494380235672,247.11479568481445,0,,,,,,
multitask-transformer_medium-20260530-030653,legacy multitask,transformer,34177548,0.10694845020771027,350.5537955760956,0,,,,,,
